dataset_name,file_name,column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values,profile_note
detailed_listings,listings.csv.gz,bathrooms_text,str,9,0.0868,22.0,,,1 shared bath | 1.5 baths | 1 bath,
detailed_listings,listings.csv.gz,bedrooms,float64,1150,11.0908,11.0,0.0,17.0,1.0 | 2.0 | 3.0,
detailed_listings,listings.csv.gz,beds,float64,4652,44.8645,22.0,1.0,33.0,2.0 | 4.0 | 1.0,
detailed_listings,listings.csv.gz,amenities,str,0,0.0,10009.0,,,"[""Heating"", ""Fire extinguisher"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Private entrance"", ""Carbon monoxide alar... | [""Heating"", ""Fire extinguisher"", ""Hot water"", ""Refrigerator"", ""Shower gel"", ""Bed linens"", ""Private entrance"", ""Carbon... | [""Smoking allowed"", ""Extra pillows and blankets"", ""Stove"", ""Heating"", ""Refrigerator"", ""Shower gel"", ""Hair dryer"", ""Ho...",
detailed_listings,listings.csv.gz,price,str,3992,38.4994,2709.0,,,$94.00 | $313.67 | $440.27,
detailed_listings,listings.csv.gz,price_quote_checkin_date,str,3861,37.236,285.0,,,2027-05-29 | 2026-07-16 | 2026-06-19,
detailed_listings,listings.csv.gz,price_quote_checkout_date,str,3861,37.236,313.0,,,2027-05-31 | 2026-07-19 | 2026-06-21,
detailed_listings,listings.csv.gz,price_quote_total_price,float64,3992,38.4994,2354.0,31.0,57059.0,188.0 | 941.0 | 880.53,
detailed_listings,listings.csv.gz,price_quote_price_per_night,float64,3992,38.4994,2709.0,14.7,11412.0,94.0 | 313.67 | 440.27,
detailed_listings,listings.csv.gz,price_quote_raw,str,3861,37.236,6173.0,,,"{""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""188"", ""cleaning... | {""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""941"", ""cleaning... | {""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""880.53"", ""clean...",
detailed_listings,listings.csv.gz,minimum_nights,float64,3,0.0289,48.0,1.0,800.0,1.0 | 3.0 | 2.0,
detailed_listings,listings.csv.gz,maximum_nights,float64,3,0.0289,111.0,1.0,2147483647.0,730.0 | 1125.0 | 365.0,
detailed_listings,listings.csv.gz,minimum_minimum_nights,float64,3,0.0289,48.0,1.0,800.0,1.0 | 3.0 | 2.0,
detailed_listings,listings.csv.gz,maximum_minimum_nights,float64,3,0.0289,54.0,1.0,800.0,2.0 | 5.0 | 3.0,
detailed_listings,listings.csv.gz,minimum_maximum_nights,float64,3,0.0289,111.0,1.0,2147483647.0,730.0 | 1125.0 | 365.0,
detailed_listings,listings.csv.gz,maximum_maximum_nights,float64,3,0.0289,111.0,1.0,2147483647.0,730.0 | 1125.0 | 365.0,
detailed_listings,listings.csv.gz,minimum_nights_avg_ntm,float64,0,0.0,183.0,1.0,800.0,2.0 | 5.0 | 3.0,
detailed_listings,listings.csv.gz,maximum_nights_avg_ntm,float64,0,0.0,378.0,1.0,2147483647.0,730.0 | 1125.0 | 365.0,
detailed_listings,listings.csv.gz,calendar_updated,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,has_availability,str,136,1.3116,2.0,,,t | f,
detailed_listings,listings.csv.gz,availability_30,int64,0,0.0,31.0,0,30,1 | 0 | 3,
detailed_listings,listings.csv.gz,availability_60,int64,0,0.0,61.0,0,60,1 | 2 | 3,
detailed_listings,listings.csv.gz,availability_90,int64,0,0.0,91.0,0,90,1 | 2 | 3,
detailed_listings,listings.csv.gz,availability_365,int64,0,0.0,366.0,0,365,11 | 2 | 3,
detailed_listings,listings.csv.gz,calendar_last_scraped,str,0,0.0,3.0,,,2026-06-16 | 2026-06-24 | 2026-06-15,
detailed_listings,listings.csv.gz,number_of_reviews,int64,0,0.0,601.0,0,5603,799 | 906 | 186,
detailed_listings,listings.csv.gz,number_of_reviews_ltm,int64,0,0.0,145.0,0,813,88 | 82 | 5,
detailed_listings,listings.csv.gz,number_of_reviews_l30d,int64,0,0.0,24.0,0,41,5 | 6 | 0,
detailed_listings,listings.csv.gz,availability_eoy,int64,0,0.0,200.0,0,199,2 | 3 | 0,
detailed_listings,listings.csv.gz,number_of_reviews_ly,int64,0,0.0,143.0,0,959,95 | 85 | 1,
detailed_listings,listings.csv.gz,estimated_occupancy_l365d,int64,0,0.0,84.0,0,255,255 | 39 | 0,
detailed_listings,listings.csv.gz,estimated_revenue_l365d,float64,3992,38.4994,3852.0,0.0,344955.0,23970.0 | 12233.0 | 112269.0,
detailed_listings,listings.csv.gz,first_review,str,1023,9.8659,3102.0,,,2010-08-22 | 2011-03-16 | 2010-08-16,
detailed_listings,listings.csv.gz,last_review,str,1023,9.8659,1504.0,,,2026-06-01 | 2026-04-30 | 2022-08-20,
detailed_listings,listings.csv.gz,review_scores_rating,float64,1023,9.8659,123.0,1.0,5.0,4.86 | 4.82 | 4.88,
detailed_listings,listings.csv.gz,review_scores_accuracy,float64,1023,9.8659,116.0,1.0,5.0,4.89 | 4.88 | 4.81,
detailed_listings,listings.csv.gz,review_scores_cleanliness,float64,1024,9.8756,140.0,1.0,5.0,4.84 | 4.83 | 4.88,
detailed_listings,listings.csv.gz,review_scores_checkin,float64,1023,9.8659,103.0,1.0,5.0,4.94 | 4.93 | 4.89,
